Brand,Processor,Storage,RAM,OS,Display,Office,Warranty,Price
MSI,Intel Core i7 Processor (11th Gen),512 GB SSD,16 GB DDR4 RAM,64 bit Windows 10 Operating System,39.62 cm (15.6 inch) Display,,2 Year Carry-In Warranty Term,"₹96,990"
DELL,Intel Core i5 Processor (11th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,Office Home and Student 2021,,"₹67,990"
RedmiBook,Intel Core i3 Processor (11th Gen),256 GB SSD,8 GB DDR4 RAM,Windows 11 Operating System,39.62 cm (15.6 inch) Display,"MS Office Home & Student 2019, Mi Smart Share, DTS Audio processing",1 Year Onsite Warranty,"₹30,990"
DELL,AMD Ryzen 3 Dual Core Processor,1 TB HDD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,88.9 cm (35 cm) Display,Microsoft Office Home and Student 2021,1 Year Onsite Warranty1 Year Onsite Warranty,"₹33,949"
HP,Intel Core i5 Processor (12th Gen),512 GB SSD,16 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,,1 Year Onsite Warranty,"₹62,990"
Lenovo,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,Office Home and Student 2021,2 Years Onsite�Warranty,"₹49,490"
APPLE,Apple M1 Processor,256 GB SSD,8 GB DDR4 RAM,Mac OS Operating System,33.78 cm (13.3 inch) Display,,,"₹92,990"
ASUS,Intel Core i5 Processor (9th Gen),1 TB HDD|256 GB SSD,8 GB DDR4 RAM,64 bit Windows 10 Operating System,39.62 cm (15.6 inch) Display,,1 Year Onsite Warranty,"₹53,999"
ASUS,Intel Core i7 Processor (12th Gen),1 TB SSD,16 GB DDR5 RAM,64 bit Windows 11 Operating System,43.94 cm (17.3 inch) Display,,1 Year Onsite Warranty,"₹1,09,990"
ASUS,Intel Core i3 Processor (11th Gen),1 TB HDD|256 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,35.81 cm (14.1 inch) Display,"Windows 11 Home, Microsoft Office Home & Student 2019, 1 Year Mcafee",1 Year Onsite Warranty,"₹38,990"
HP,AMD Ryzen 3 Quad Core Processor,512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,"Microsoft Office 2019 & Office 365, HP Documentation, HP BIOS recovery, HP Smart",1 Year Onsite Warranty,"₹40,490"
ASUS,Intel Core i7 Processor (12th Gen),1 TB SSD,16 GB DDR5 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,,1 Year Onsite Warranty,"₹1,18,990"
Lenovo,Intel Core i3 Processor (11th Gen),256 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,35.56 cm (14 inch) Display,Office Home and Student 2021,2 Year Onsite�Warranty,"₹36,000"
