Brand,Processor_Brand,Processor_Type,Storage_SSD,Storage_HDD,RAM_GB,RAM_Type,OS,Display_Size,Display_Type,Office,Warranty,Price
DELL,AMD,Ryzen 3 Quad Core,256,0,8,DDR4,64 bit Windows 11,14.0,Normal,Office Home & Student 2021,1 Year Onsite Warranty,34990
ASUS,Intel,Core i5  - 12th Gen,512,0,16,DDR4,64 bit Windows 11,14.0,Normal,Not Available,1 Year Onsite Warranty,74990
acer,Intel,Core i5  - 11th Gen,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Not Available,1 Year International Travelers Warranty,42990
DELL,AMD,Ryzen 3 Dual Core,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,40190
ASUS,Intel,Core i3  - 11th Gen,256,0,8,DDR4,64 bit Windows 11,15.6,Normal,Office Home & Student 2021,1 Year Onsite Warranty,42990
ASUS,AMD,Ryzen 7 Octa Core,1024,0,16,LPDDR4X,64 bit Windows 11,14.0,Touchscreen,Not Available,1 Year Onsite Warranty,113990
HP,Intel,Core i5  - 12th Gen,512,0,16,DDR4,64 bit Windows 11,14.0,Normal,Office Home & Student 2021,1 Year Onsite Warranty,63990
ASUS,Intel,Core i7  - 11th Gen,512,0,16,DDR4,Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,56990
DELL,Intel,Core i3  - 11th Gen,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,46990
Infinix,Intel,Core i5  - 10th Gen,512,0,8,LPDDR4X,64 bit Windows 11,14.0,Normal,Not Available,1 Year Onsite Warranty,37990
HP,Intel,Core i3  - 11th Gen,256,1024,8,DDR4,64 bit Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,40990
Infinix,Intel,Celeron Quad Core,128,0,4,LPDDR4X,64 bit Windows 11,14.0,Normal,Not Available,1 Year Onsite Warranty,20990
acer,AMD,Dual Core,256,0,4,DDR4,64 bit Windows 11,14.0,Normal,Not Available,1 Year International Travelers Warranty,22990
HP,Intel,Core i5  - 12th Gen,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,66990
ASUS,Intel,Core i5  - 10th Gen,512,0,8,DDR4,Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,52990
ASUS,Intel,Core i3  - 11th Gen,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,36990
acer,Intel,Core i3  - 12th Gen,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Not Available,1 Year International Travelers Warranty,54999
DELL,Intel,Core i5  - 12th Gen,512,0,16,DDR5,64 bit Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,85000
ASUS,Intel,Core i3  - 11th Gen,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Office Home & Student 2021,1 Year Onsite Warranty,45990
RedmiBook,Intel,Core i5  - 11th Gen,512,0,8,DDR4,Windows 11,15.6,Normal,Office Home & Student 2019,1 Year Onsite Warranty,46990
APPLE,Apple,M2,512,0,8,Unified Memory,Mac,13.6,Normal,Not Available,1 Year Limited Warranty,140990
ASUS,Intel,Core i3  - 11th Gen,512,0,8,DDR4,64 bit Windows 11,14.0,Normal,Not Available,1 Year Onsite Warranty,40990
ASUS,Intel,Core i5  - 10th Gen,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Office Home & Student 2021,1 Year Onsite Warranty,42990
APPLE,Apple,M1,256,0,16,DDR4,Mac,13.3,Normal,Not Available,1 Year Limited Warranty,105990
ASUS,AMD,Ryzen 7 Octa Core,512,0,16,DDR4,64 bit Windows 11,16.0,Normal,Office Home & Student 2021,1 Year Onsite Warranty,66990
Lenovo,Intel,Core i5  - 12th Gen,512,0,16,DDR4,64 bit Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,65490
APPLE,Apple,M1,512,0,16,DDR4,Mac,13.3,Normal,Not Available,1 Year Limited Warranty,125990
APPLE,Apple,M1 Pro,1024,0,16,Unified Memory,Mac,14.2,Normal,Not Available,1 Year Limited Warranty,222990
acer,AMD,Ryzen 5 Quad Core,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Not Available,1 Year International Travelers Warranty,35990
HP,AMD,Ryzen 5 Hexa Core,512,0,16,DDR4,64 bit Windows 11,15.6,Normal,Office Home & Student 2021,1 Year Onsite Warranty,64805
ASUS,AMD,Ryzen 7 Octa Core,512,0,16,DDR4,64 bit Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,87990
ASUS,Intel,Core i7  - 12th Gen,1024,0,16,DDR5,64 bit Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,101990
ASUS,Intel,Core i5  - 12th Gen,512,0,8,DDR4,Windows 11,14.0,Normal,Office Home & Student 2021,1 Year Onsite Warranty,56990
DELL,Intel,Core i5  - 11th Gen,256,1024,8,DDR4,64 bit Windows 10,15.6,Normal,Not Available,1 Year Onsite Warranty,60414
DELL,AMD,Ryzen 5 Quad Core,256,0,8,DDR4,64 bit Windows 10,15.6,Normal,Office Home & Student 2019,1 Year Onsite Warranty,41890
acer,AMD,Ryzen 5 Hexa Core,512,0,16,DDR4,64 bit Windows 11,15.6,Normal,Not Available,1 Year International Travelers Warranty,55990
ASUS,Intel,Core i3  - 12th Gen,512,0,8,DDR4,Windows 11,15.6,Touchscreen,Not Available,1 Year Onsite Warranty,46288
ASUS,Intel,Core i3  - 11th Gen,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Office Home & Student 2021,1 Year Onsite Warranty,38990
HP,Intel,Core i5  - 12th Gen,512,0,8,DDR4,64 bit Windows 11,14.0,Normal,Office Home & Student 2021,1 Year Onsite Warranty,63990
ASUS,Intel,Core i3  - 11th Gen,256,0,4,DDR4,64 bit Windows 11,14.0,Normal,Not Available,1 Year Onsite Warranty,31990
MSI,Intel,Core i7  - 11th Gen,1024,0,16,DDR4,64 bit Windows 10,15.6,Normal,Not Available,2 Year Carry In Warranty,129990
Lenovo,AMD,Ryzen 5 Quad Core,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Not Available,2 Year Onsite Warranty,41990
DELL,Intel,Core i5  - 12th Gen,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,64477
HP,AMD,Ryzen 5 Hexa Core,512,0,16,DDR4,64 bit Windows 11,14.0,Normal,Not Available,1 Year Onsite Warranty,63990
Lenovo,Intel,Core i5  - 11th Gen,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty + 1 Year Premium Care + 1 Year Accidental Damage Protection,52990
HP,AMD,Ryzen 5 Hexa Core,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Office Home & Student 2019,1 Year Onsite Warranty,67490
ASUS,Intel,Core i7  - 11th Gen,512,0,16,LPDDR4X,64 bit Windows 11,13.3,Touchscreen,Not Available,1 Year Onsite Warranty,104990
DELL,Intel,Core i5  - 12th Gen,512,0,16,DDR5,64 bit Windows 11,13.3,Normal,Not Available,1 Year Onsite Warranty,76590
ASUS,Intel,Core i3  - 11th Gen,256,0,8,LPDDR4X,64 bit Windows 11,14.0,Touchscreen,Not Available,1 Year Onsite Warranty,44990
DELL,Intel,Core i3  - 11th Gen,256,0,8,DDR4,64 bit Windows 10,15.6,Normal,Office Home & Student 2019,1 Year Onsite Warranty,43090
DELL,Intel,Pentium Silver,256,0,8,DDR4,64 bit Windows 11,15.6,Normal,Office Home & Student 2021,1 Year Onsite Warranty,30428
DELL,Intel,Core i3  - 10th Gen,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,38990
ASUS,AMD,Ryzen 3 Dual Core,256,0,8,DDR4,64 bit Windows 11,15.6,Normal,Office Home & Student 2021,1 Year Onsite Warranty,27990
ASUS,AMD,Ryzen 5 Hexa Core,512,0,16,DDR4,64 bit Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,56990
HP,AMD,Ryzen 3 Dual Core,256,1024,8,DDR4,64 bit Windows 10,15.6,Normal,Office Home & Student 2019,1 Year Onsite Warranty,39999
Infinix,Intel,Celeron Quad Core,256,0,8,LPDDR4X,64 bit Windows 11,14.0,Normal,Not Available,1 Year Onsite Warranty,24999
ASUS,Intel,Core i5  - 10th Gen,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,56788
ASUS,Intel,Core i3  - 11th Gen,512,0,8,DDR4,64 bit Windows 11,14.0,Normal,Office Home & Student 2021,1 Year Onsite Warranty,41990
ASUS,Intel,Core i5  - 12th Gen,512,0,16,DDR4,64 bit Windows 11,14.0,Touchscreen,Not Available,1 Year Onsite Warranty,66990
HP,AMD,Ryzen 5 Hexa Core,512,0,16,DDR4,64 bit Windows 11,13.3,Touchscreen,Office Home & Student 2019,1 Year Onsite Warranty,81990
DELL,AMD,Ryzen 3 Quad Core,512,0,8,DDR4,64 bit Windows 11,14.0,Normal,Office Home & Student 2021,1 Year Onsite Warranty,38990
ASUS,Intel,Core i5  - 12th Gen,512,0,16,LPDDR5,64 bit Windows 11,14.0,Touchscreen,Not Available,1 Year Onsite Warranty,89990
ASUS,AMD,Ryzen 7 Octa Core,512,0,8,DDR4,64 bit Windows 10,15.6,Normal,Not Available,1 Year Onsite Warranty,77490
Mi,Intel,Core i5  - 10th Gen,256,0,8,DDR4,64 bit Windows 10,14.0,Normal,Not Available,1 Year Manufacturer Warranty,44999
MSI,Intel,Core i7  - 11th Gen,512,0,8,DDR4,64 bit Windows 10,15.6,Normal,Not Available,2 Year Carry In Warranty,68890
ASUS,AMD,Ryzen 7 Octa Core,512,0,16,DDR4,64 bit Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,61990
ASUS,AMD,Ryzen 9 Octa Core  - 10th Gen,512,0,16,DDR4,Windows 11,16.6,Normal,Not Available,1 Year International Warranty,99990
ASUS,AMD,Ryzen 9 Octa Core,512,0,16,DDR4,64 bit Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,99990
Lenovo,Intel,Core i3  - 10th Gen,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Office Home & Student 2021,2 Year Onsite Warranty,38400
realme,Intel,Core i3  - 11th Gen,256,0,8,DDR4,64 bit Windows 10,14.0,Normal,Not Available,1 Year Domestic Warranty,46990
ASUS,Intel,Core i5  - 11th Gen,512,0,8,LPDDR4X,64 bit Windows 11,14.0,Touchscreen,Not Available,1 Year Onsite Warranty,63990
Lenovo,AMD,Ryzen 5 Hexa Core,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Office Home & Student 2021,2 Year Onsite Warranty,46700
ASUS,AMD,Ryzen 5 Quad Core,512,0,8,DDR4,32 bit Windows 11,14.0,Normal,Office Home & Student 2021,1 Year Onsite Warranty,40990
ASUS,AMD,Ryzen 7 Octa Core,1024,0,16,DDR5,64 bit Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,105990
ASUS,Intel,Core i9  - 12th Gen,1024,0,32,LPDDR5,Windows 11,14.0,Touchscreen,Office Home & Student 2021,1 Year Onsite Warranty,159990
DELL,Intel,Core i3  - 12th Gen,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,48077
DELL,Intel,Core i3  - 11th Gen,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,39415
ASUS,Intel,Core i7  - 11th Gen,1024,0,16,LPDDR4X,64 bit Windows 10,14.0,Touchscreen,Office Home & Student 2019,1 Year Onsite Warranty,89990
HP,Intel,Core i5  - 11th Gen,512,0,8,DDR4,64 bit Windows 11,16.1,Normal,Office Home & Student 2019,1 Year Onsite Warranty,67990
MSI,Intel,Core i5  - 11th Gen,512,0,8,DDR4,64 bit Windows 10,15.6,Normal,Not Available,2 Year Carry In Warranty,54150
HP,AMD,Ryzen 7 Octa Core,512,0,16,DDR4,64 bit Windows 11,15.6,Normal,Office Home & Student 2019,1 Year Onsite Warranty,76990
ASUS,Intel,Core i3  - 11th Gen,256,1024,8,DDR4,64 bit Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,45990
Lenovo,Intel,Core i3  - 11th Gen,256,0,8,DDR4,64 bit Windows 11,15.6,Normal,Not Available,2 Year Onsite Warranty,36450
DELL,Intel,Core i5  - 12th Gen,512,0,8,DDR4,64 bit Windows 11,14.0,Touchscreen,Not Available,1 Year Onsite Warranty,75225
ASUS,Intel,Core i5  - 10th Gen,1024,0,8,DDR4,64 bit Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,65990
Lenovo,Intel,Core i3  - 10th Gen,256,0,8,DDR4,64 bit Windows 11,14.0,Normal,Not Available,2 Year Onsite Warranty,33990
APPLE,Apple,M2,256,0,8,Unified Memory,Mac,13.3,Normal,Not Available,1 Year Limited Warranty,122990
Lenovo,Intel,Core i3  - 10th Gen,256,0,8,DDR4,Windows 11,15.6,Normal,Office Home & Student 2019,2 Year Warranty,33990
ASUS,Intel,Core i3  - 12th Gen,512,0,8,DDR4,Windows 11,14.0,Normal,Office Home & Student 2021,1 Year Onsite Warranty,47990
MSI,Intel,Core i5  - 11th Gen,512,0,8,DDR4,64 bit Windows 10,15.6,Normal,Not Available,2 Year Carry In Warranty,63600
ASUS,Intel,Core i9  - 12th Gen,2048,0,32,DDR5,64 bit Windows 11,17.3,Normal,Not Available,1 Year Onsite Warranty,359990
APPLE,Apple,M2,512,0,8,Unified Memory,Mac,13.6,Normal,Not Available,1 Year Onsite Warranty,140990
acer,Intel,Core i5  - 11th Gen,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Not Available,1 Year International Travelers Warranty,50916
ASUS,Intel,Core i3  - 11th Gen,512,0,8,LPDDR4X,64 bit Windows 11,14.0,Touchscreen,Not Available,1 Year Onsite Warranty,49990
ASUS,Intel,Core i5  - 10th Gen,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,54990
HP,Intel,Core i7  - 12th Gen,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,85990
HP,Intel,Core i3  - 11th Gen,256,0,8,DDR4,64 bit Windows 11,14.0,Touchscreen,Office Home & Student 2021,1 Year Onsite Warranty,53990
DELL,AMD,Ryzen 5 Hexa Core,512,0,8,DDR4,64 bit Windows 10,14.0,Touchscreen,Office Home & Student 2019,1 Year Onsite Warranty,66446
DELL,AMD,Ryzen 5 Hexa Core,512,0,16,DDR4,64 bit Windows 11,15.6,Normal,Office Home & Student 2021,1 Year Onsite Warranty,78890
acer,Intel,Core i7  - 11th Gen,512,1024,16,DDR4,64 bit Windows 10,15.6,Normal,Not Available,1 Year International Travelers Warranty,97500
DELL,AMD,Ryzen 3 Dual Core,256,0,8,DDR4,64 bit Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,34990
APPLE,Apple,M1,256,0,16,DDR4,Mac,13.3,Normal,Not Available,1 Year Limited Warranty,109990
DELL,Intel,Pentium Quad Core,256,0,8,DDR4,64 bit Windows 11,15.6,Normal,Office Home & Student 2021,1 Year Onsite Warranty,34490
HP,AMD,Ryzen 5 Hexa Core  - 5th Gen,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,45500
Lenovo,Intel,Core i5  - 11th Gen,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Office Home & Student 2021,1 Year Onsite Warranty + 1 Year Premium Care + 1 Year Accidental Damage Protection,64990
HP,AMD,Athlon Dual Core,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,28990
DELL,AMD,Ryzen 5 Hexa Core,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Office Home & Student 2021,1 Year Onsite Warranty,71990
MSI,Intel,Core i9  - 12th Gen,2048,0,32,DDR5,64 bit Windows 11,17.3,Normal,Not Available,2 Year Onsite & Carry In Warranty,389990
HP,Intel,Core i5  - 12th Gen,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Office Home & Student 2021,1 Year Onsite Warranty,67070
GIGABYTE,Intel,Core i5  - 12th Gen,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Not Available,2 Year Carry In Warranty,77887
