Brand,Processor_Brand,Processor_Type,Storage_SSD,Storage_HDD,RAM_GB,RAM_Type,OS,Display_Size,Display_Type,Office,Warranty,Price
ASUS,AMD,Ryzen 7 Octa Core,512,,16,DDR4,Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,64990
APPLE,Apple,M1,256,,8,DDR4,Mac,13.3,Normal,Not Available,,86990
acer,AMD,Ryzen 5 Hexa Core,512,,8,DDR4,Windows 11,15.6,Normal,Not Available,1 Year International Travelers Warranty,51990
ASUS,Intel,Core i5  - 12th Gen,512,,8,DDR5,Windows 11,15.6,Normal,Office Home & Student,1 Year Onsite Warranty,76990
HP,Intel,Core i5  - 12th Gen,512,,16,DDR4,Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,72990
Infinix,Intel,Core i3  - 11th Gen,512,,8,LPDDR4X,Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,33990
ASUS,Intel,Core i7  - 12th Gen,1024,,16,DDR5,Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,118990
MSI,Intel,Core i5  - 12th Gen,512,,8,DDR4,Windows 11,15.6,Normal,Not Available,2 Year Onsite & Carry In Warranty,52990
HP,Intel,Core i3  - 11th Gen,512,,8,DDR4,Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,41990
acer,AMD,Ryzen 5 Hexa Core,512,,16,DDR4,Windows 11,15.6,Normal,Not Available,1 Year International Travelers Warranty,55990
DELL,Intel,Core i5  - 12th Gen,256,1024 ,8,DDR4,Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,57990
realme,Intel,Core i3  - 11th Gen,256,,8,DDR4,Windows 10,14,Normal,Not Available,1 Year Domestic Warranty,46990
Lenovo,Intel,Core i5  - 11th Gen,256,1024 ,8,DDR4,Windows 11,15.6,Normal,Office Home & Student 2021,1 Year Onsite Warranty + 1 Year Premium Care + 1 Year Accidental Damage Protection,61890
ASUS,Intel,Core i3  - 11th Gen,512,,8,LPDDR4X,Windows 11,14,Touchscreen,Not Available,,49990
ASUS,Intel,Core i5  - 10th Gen,1024,,8,DDR4,Windows 11,15.6,Normal,Not Available,,60980
ASUS,Intel,Core i3  - 10th Gen,512,,8,DDR4,Windows 11,15.6,Normal,Office Home & Student 2021,1 Year Onsite Warranty,32990
HP,AMD,Ryzen 7 Octa Core,512,,16,DDR4,Windows 11,15.6,Normal,Office Home & Student 2019,1 Year Onsite Warranty,74990
ASUS,Intel,Core i3  - 12th Gen,512,,8,DDR4,Windows 11,15.6,Touchscreen,Not Available,,44669
ASUS,Intel,Core i3  - 11th Gen,512,,8,DDR4,Windows 10,15.6,Normal,Office Home & Student 2019,1 Year Onsite Warranty,35990
Lenovo,Intel,Core i3  - 11th Gen,256,,8,DDR4,Windows 11,15.6,Normal,Not Available,2 Year Onsite Warranty,32890
Infinix,Intel,Core i3  - 10th Gen,256,,8,LPDDR4X,Windows 11,14,Normal,Not Available,1 Year Onsite Warranty,30990
Infinix,Intel,Core i3  - 11th Gen,256,,8,LPDDR4X,Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,30990
ASUS,Intel,Core i5  - 12th Gen,512,,8,DDR4,Windows 11,14,Normal,Office Home & Student 2021,1 Year Onsite Warranty,54990
HP,Intel,Core i3  - 11th Gen,512,,8,DDR4,Windows 11,14,Normal,Office Home & Student 2021,1 Year Onsite Warranty,40990
ASUS,Intel,Core i5  - 11th Gen,512,,16,LPDDR4X,Windows 11,14,Touchscreen,Office Home & Student 2021,1 Year Onsite Warranty,76990
ASUS,Intel,Core i5  - 12th Gen,512,,16,DDR4,Windows 11,14,Touchscreen,Not Available,1 Year Onsite Warranty,66990
ASUS,Intel,Core i5  - 11th Gen,512,,8,DDR4,Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,45990
ASUS,Intel,Core i5  - 12th Gen,512,,8,DDR5,Windows 11,15.6,Normal,Office Home & Student,1 Year Onsite Warranty,76990
ASUS,AMD,Ryzen 5 Hexa Core,512,,16,DDR4,Windows 11,15.6,Normal,Not Available,,54990
DELL,AMD,Ryzen 3 Quad Core,512,,8,DDR4,Windows 11,14,Normal,Office Home & Student 2021,,41490
